permitnum,permitclass,permitclassmapped,permittypemapped,permittypedesc,description,housingunits,statuscurrent,relatedmup,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1,daysoutcorrections,numberreviewcycles,dependentbuilding,housingcategory,contractorcompanyname,estprojectcost,applieddate,housingunitsremoved,housingunitsadded,issueddate,expiresdate,completeddate,zoning,dwellingunittype,standardplan,parentpermitnum
3014980-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Council Land Use Action to allow a new three-story  20 000  sq. ft. public facility (City of Seattle  Fire Station 32). Parking for eleven vehicles will be provided on the site. Review includes demolition of existing structure (9 000). Project also includes 1 734 cu. yds. of grading.,0.0,Completed,3014980-LU,4700 38TH AVE SW,SEATTLE,WA,98126,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3014980-EX'},47.56082621,-122.37965874,"{'latitude': '47.56082621', 'longitude': '-122.37965874'}",0,0,0,N/A,CITY OF SEA F&FD,,,,,,,,,,,
3015680-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a six-story  mixed-use building containing 82 residential units above 2 642 sq. ft. of commercial space. No parking is proposed. The existing structure is to be demolished,0.0,Completed,3015680-LU,101 DENNY WAY,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015680-EX'},47.61845060,-122.35476894,"{'latitude': '47.6184506', 'longitude': '-122.35476894'}",0,0,0,N/A,,,,,,,,,,,,
3015820-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to subdivide one parcel into four parcels of land. Proposed parcel sizes are: A) 6 106 sq. ft.  B) 7 080 sq. ft.  C) 7  084 sq. ft.; and D) 6 106 sq. ft. Existing structures to be demolished.,0.0,Completed,3015820-LU,2340 NE 127TH ST,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015820-EX'},47.72158229,-122.30300436,"{'latitude': '47.72158229', 'longitude': '-122.30300436'}",0,0,0,N/A,,,,,,,,,,,,
3015884-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 2 090.1 sq. ft. and B) 2 678.8 sq. ft. Existing structure to remain.,0.0,Completed,3015884-LU,4501 RAINIER AVE S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015884-EX'},47.56271214,-122.28806377,"{'latitude': '47.56271214', 'longitude': '-122.28806377'}",0,0,0,N/A,,,,,,,,,,,,
3015982-EX,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a one-story  7 200 sq. ft. addition (kitchen  cafeteria  classroom) to existing 34 287 sq. ft. institution in an environmentally critical area (Green Lake Elementary School)  remove two portable classrooms and install a 890 sq. ft. portable classroom. Project includes 900 cu. yds. of grading (500 cut; 400 fill). Determination of Non-Significance issued by Seattle Public Schools.,0.0,Completed,3015982-LU,6500 SUNNYSIDE AVE N,SEATTLE,WA,98103,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3015982-EX'},47.67630741,-122.32851249,"{'latitude': '47.67630741', 'longitude': '-122.32851249'}",0,0,0,N/A,,,,,,,,,,,,
3016052-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a new single family residence in an environmentally critical area. Parking for one vehicle to be provided.,0.0,Completed,3016052-LU,4521 47TH AVE S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3016052-EX'},47.56225457,-122.27474996,"{'latitude': '47.56225457', 'longitude': '-122.27474996'}",0,0,0,N/A,,,,,,,,,,,,
3016543-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow two 6-story structures  one containing  277 residential units and one containing 110 residential units above 946 sq. ft. of retail space in an environmentally critical area. Parking for 234 vehicles to be provided in a shared below-grade garage. Existing underground tanks to be removed (6416606).,0.0,Completed,3016543-LU,1207 WESTLAKE AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3016543-EX'},47.63002641,-122.34142345,"{'latitude': '47.63002641', 'longitude': '-122.34142345'}",0,0,0,N/A,,,,,,,,,,,,
3016548-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow 2  single family dwelling units with one surface parking space in an environmentally critical area. Existing structure to be demolished.,0.0,Completed,3016548-LU,924 29TH AVE S,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3016548-EX'},47.59371337,-122.29517934,"{'latitude': '47.59371337', 'longitude': '-122.29517934'}",0,0,0,N/A,,,,,,,,,,,,
3016759-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use application to adjust the boundary between eight parcels of land resulting in six parcels of land. Proposed parcel sizes are:A)4349sf; B)4349sf; C)4349sf; D)9146sf; E)5108sf; F)3200sf. Existing structures to remain.,0.0,Completed,3016759-LU,9830 ARROWSMITH AVE S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3016759-EX'},47.51358115,-122.25223486,"{'latitude': '47.51358115', 'longitude': '-122.25223486'}",0,0,0,N/A,,,,,,,,,,,,
3008543-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow two  2-unit townhouse and one  4-unit townhouse structures in an environmentally critical area. (8 unit total) Parking for 8 vehicles to be provided within the structure. Environmental review includes future unit lot subdivision.,0.0,Completed,3008543-LU,1638 S DEARBORN ST,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3008543-EX'},47.59617118,-122.31017183,"{'latitude': '47.59617118', 'longitude': '-122.31017183'}",0,0,0,N/A,,,,,,,,,,,,
